#,service_id,service_name,category,description,monthly_cost,is_active
53,53,Хостинг 1С-Битрикс,Hosting,Оптимизирован под корпоративные порталы,6000.00,1
54,54,Интернет по радиоканалу,Internet,Решение для удалённых населённых пунктов,6800.00,1
55,55,Дата-центр Павлодар,Data Center,Региональный ЦОД с резервными каналами,10500.00,1
56,56,VoIP для мобильной группы,Telephony,Голос через LTE / Wi-Fi без сим-карты,4300.00,1
57,57,VPN Education Edition,VPN,Спец. тарифы для вузов и школ,3200.00,1
58,58,Object Cloud Storage,Cloud,Объектное хранилище с REST API,5400.00,1
59,59,Интернет на дачу,Internet,Летний тариф с гибкой оплатой,3900.00,1
60,60,SIP Proxy Server,Telephony,Интеграция с операторами и шлюзами,6500.00,1
61,61,KZ Internet Standard,Internet,Интернет до 100 Мбит/с для частных пользователей,4500.00,1
62,62,KZ Internet Business 300,Internet,Интернет до 300 Мбит/с для малого бизнеса,9800.00,1
63,63,Облачный сервер с Windows,Cloud,Готовый сервер с предустановленной Windows Server,8700.00,1
64,64,KZ Hosting Mini,Hosting,Базовый хостинг до 1 ГБ для начинающих,1200.00,1
65,65,KZ Hosting Enterprise,Hosting,Масштабируемый хостинг с высокой доступностью,9900.00,1
66,66,VoIP IP-АТС корпоративная,Telephony,Решение для внутренних коммуникаций организаций,7400.00,1
67,67,VPN для видеонаблюдения,VPN,Удалённый доступ к IP-камерам,3100.00,1
68,68,ЦОД KZ-Reserve Tier II,Data Center,Бюджетное размещение серверов с резервом,8800.00,1
69,69,Безлимитный интернет + WiFi,Internet,Пакет с роутером и безлимитным трафиком,6100.00,1
70,70,Облачное резервное копирование,Cloud,Автоматические бэкапы баз данных и файлов,4100.00,1
71,71,Хостинг Laravel+,Hosting,"Поддержка PHP8, Laravel, Git CI/CD",5200.00,1
72,72,Базовая IP-телефония,Telephony,Простой голосовой канал для индивидуальных клиентов,1600.00,1
73,73,VPN 24/7 Guard,VPN,Максимальная защита с круглосуточным мониторингом,5600.00,1
74,74,Colocation серверов (2U),Data Center,Размещение сервера формата 2U в ЦОД,13200.00,1
75,75,Интернет для резидентов Технопарков,Internet,Скоростной интернет со скидкой для ИТ-компаний,5200.00,1
76,76,KZCloud Startup VM,Cloud,Виртуальные машины для MVP и тестов,3300.00,1
77,77,Облачная база данных (PostgreSQL),Cloud,Управляемая БД в облаке с ежедневными бэкапами,4700.00,1
78,78,KZ Hosting CMS Ready,Hosting,"Поддержка WordPress, Joomla, OpenCart",3100.00,1
79,79,Мобильная SIP-линия,Telephony,Голосовая линия с мобильной переадресацией,3700.00,1
80,80,VPN KZ Global,VPN,"Выходные точки по всему миру, включая Европу и Азию",6000.00,1
81,81,ЦОД KZ-Enterprise Shield,Data Center,"Защита от DDoS, физическая безопасность, резерв",22500.00,1
82,82,Интернет + IP камера,Internet,Комплект с подключением IP-камеры наблюдения,6700.00,1
83,83,Cloud DevOps Pack,Cloud,"Интеграция Git, Jenkins, Docker",9100.00,1
84,84,Бизнес-хостинг с почтой,Hosting,Включена корпоративная почта и SSL,5900.00,1
85,85,Телефония CRM-Ready,Telephony,"Интеграция с Bitrix24, amoCRM",7100.00,1
86,86,VPN Light (домашний),VPN,Простой защищённый доступ без настройки,1500.00,1
87,87,KZCloud Data Lake,Cloud,Облачное хранилище больших данных,14200.00,1
88,88,E-commerce VPN,VPN,Защита онлайн-платежей и транзакций,2700.00,1
89,89,Хостинг Python API,Hosting,Подходит для Flask и FastAPI,4700.00,1
90,90,ЦОД KZ-Север,Data Center,Размещение серверов в северном регионе,9500.00,1
91,91,Интернет Ultra 500,Internet,Оптоволоконный интернет до 500 Мбит/с для дома и офиса,10200.00,1
92,92,KZCloud Legal Archive,Cloud,Облачное хранилище для электронных документов и архивов,4800.00,1
93,93,Хостинг для интернет-магазинов,Hosting,"Оптимизирован под CMS: OpenCart, Magento",5500.00,1
94,94,Гибридная телефония SIP+GSM,Telephony,Интеграция SIP-номеров с GSM-сетями,8200.00,1
95,95,VPN Travel Safe,VPN,Доступ к казахстанским сервисам из-за границы,3500.00,1
96,96,Мини-ЦОД на базе ISO контейнера,Data Center,Мобильное решение для удалённых локаций,18500.00,1
97,97,"Домашний интернет ""Дача+",Internet,Тариф с приостановкой на зиму без штрафов,2900.00,1
98,98,KZCloud Video AI,Cloud,Обработка видеопотока на базе AI (ML),12700.00,1
99,99,Node.js Hosting Plan,Hosting,"Для приложений на Node.js, с поддержкой PM2",4700.00,1
100,100,IP телефония с автоответчиком,Telephony,Интерактивный голосовой ответ (IVR),3900.00,1
101,101,VPN KZShield,VPN,Сертифицированный VPN по стандартам РК,6200.00,1
102,102,ЦОД Eco-Power,Data Center,Энергоэффективный ЦОД с охлаждением на зелёной энергии,15800.00,1
103,103,Интернет + антивирус,Internet,Пакет включает облачную защиту от вредоносных сайтов,4600.00,1
104,104,KZCloud Docs,Cloud,Сервис для совместной работы с документами,3300.00,1
105,105,Premium Web Hosting,Hosting,"Хостинг с выделенным IP, SSL и резервами",6900.00,1
106,106,Телефония для eCommerce,Telephony,Готовые шаблоны автообзвона для интернет-магазинов,5100.00,1
107,107,VPN Pro Secure,VPN,Подходит для удалённой работы и доступа к ERP,5900.00,1
108,108,KZ Data Vault,Data Center,Хранилище с шифрованием и биометрическим доступом,19800.00,1
109,109,Gaming Internet Plan,Internet,"Низкий пинг, приоритетный трафик, подходит для геймеров",7200.00,1
110,110,Cloud Backup for 1C,Cloud,Резервное копирование базы 1С в облако с шифрованием,4900.00,1
